age,year,fertility_rate,date,gender
15-19,NA,0.011744113839230167,NA,F
20-24,NA,0.14375365566847148,NA,F
25-29,NA,0.2450008994326736,NA,F
30-34,NA,0.24825609354763664,NA,F
35-39,NA,0.22087133515381588,NA,F
40-44,NA,0.17197354344304563,NA,F
45-49,NA,0.11697071683817248,NA,F
50-54,NA,0.06177538518544496,NA,F
55-59,NA,0.035918212048487067,NA,F
60-64,NA,0.013675436624489322,NA,F
65-69,NA,0.01320861495115074,NA,F
70-74,NA,0.00496612964408881,NA,F
75-79,NA,0.0023593560873393514,NA,F
80+,NA,0.003273013417268331,NA,F
under 15-NA,2016,0,2016,F
15-19,2016,0.004185970707639564,2016,F
20-24,2016,0.07907767583631703,2016,F
25-29,2016,0.17138771511419307,2016,F
30-34,2016,0.14220328347514816,2016,F
35-39,2016,0.074091863688864,2016,F
40-44,2016,0.03082728264561085,2016,F
45-49,2016,0.012104227628612319,2016,F
50-54,2016,0.0045406282595606435,2016,F
55-59,2016,0.001715201156066571,2016,F
60-64,2016,6.78328505814885e-4,2016,F
65-69,2016,3.392387373625341e-4,2016,F
70-74,2016,3.648933246074989e-4,2016,F
75-79,2016,2.345542727151361e-4,2016,F
80+,2016,8.144767090484706e-4,2016,F
under 15-NA,2017,0,2017,F
15-19,2017,0.004185970707639564,2017,F
20-24,2017,0.07907767583631703,2017,F
25-29,2017,0.17138771511419307,2017,F
30-34,2017,0.14220328347514816,2017,F
35-39,2017,0.074091863688864,2017,F
40-44,2017,0.03082728264561085,2017,F
45-49,2017,0.012104227628612319,2017,F
50-54,2017,0.0045406282595606435,2017,F
55-59,2017,0.001715201156066571,2017,F
60-64,2017,6.78328505814885e-4,2017,F
65-69,2017,3.392387373625341e-4,2017,F
70-74,2017,3.648933246074989e-4,2017,F
75-79,2017,2.345542727151361e-4,2017,F
80+,2017,8.144767090484706e-4,2017,F
under 15-NA,2018,0,2018,F
15-19,2018,0.004185970707639564,2018,F
20-24,2018,0.07907767583631703,2018,F
25-29,2018,0.17138771511419307,2018,F
30-34,2018,0.14220328347514816,2018,F
35-39,2018,0.074091863688864,2018,F
40-44,2018,0.03082728264561085,2018,F
45-49,2018,0.012104227628612319,2018,F
50-54,2018,0.0045406282595606435,2018,F
55-59,2018,0.001715201156066571,2018,F
60-64,2018,6.78328505814885e-4,2018,F
65-69,2018,3.392387373625341e-4,2018,F
70-74,2018,3.648933246074989e-4,2018,F
75-79,2018,2.345542727151361e-4,2018,F
80+,2018,8.144767090484706e-4,2018,F
under 15-NA,2019,0,2019,F
15-19,2019,0.004185970707639564,2019,F
20-24,2019,0.07907767583631703,2019,F
25-29,2019,0.17138771511419307,2019,F
30-34,2019,0.14220328347514816,2019,F
35-39,2019,0.074091863688864,2019,F
40-44,2019,0.03082728264561085,2019,F
45-49,2019,0.012104227628612319,2019,F
50-54,2019,0.0045406282595606435,2019,F
55-59,2019,0.001715201156066571,2019,F
60-64,2019,6.78328505814885e-4,2019,F
65-69,2019,3.392387373625341e-4,2019,F
70-74,2019,3.648933246074989e-4,2019,F
75-79,2019,2.345542727151361e-4,2019,F
80+,2019,8.144767090484706e-4,2019,F
